('http://www.songlyrics.com/beyonce-knowles/sweet-dreams-lyrics/', '2009')
('http://www.songlyrics.com/jay-z/empire-state-of-mind-lyrics/', '2009')
('http://www.songlyrics.com/nickelback/if-today-was-your-last-day-lyrics/', '2009')
('http://www.songlyrics.com/mario/break-up-lyrics/', '2009')
('http://www.songlyrics.com/young-money/every-girl-lyrics/', '2009')
('http://www.songlyrics.com/shakira/she-wolf-lyrics/', '2009')
('http://www.songlyrics.com/the-veronicas/untouched-lyrics/', '2009')
('http://www.songlyrics.com/asher-roth/i-love-college-lyrics/', '2009')
('http://www.songlyrics.com/boys-like-girls/love-drunk-lyrics/', '2009')
('http://www.songlyrics.com/fabolous/throw-it-in-the-bag-lyrics/', '2009')
('http://www.songlyrics.com/jason-aldean/big-green-tractor-lyrics/', '2009')
('http://www.songlyrics.com/rihanna/disturbia-lyrics/', '2009')
('http://www.songlyrics.com/britney-spears/if-u-seek-amy-lyrics/', '2009')
('http://www.songlyrics.com/the-dream/rockin-that-thang-lyrics/', '2009')
('http://www.songlyrics.com/soulja-boy-tell-em/turn-my-swag-on-lyrics/', '2009')
('http://www.songlyrics.com/taylor-swift/white-horse-lyrics/', '2009')
('http://www.songlyrics.com/green-day/21-guns-lyrics/', '2009')
('http://www.songlyrics.com/beyonce-knowles/diva-lyrics/', '2009')
('http://www.songlyrics.com/zac-brown-band/chicken-fried-lyrics/', '2009')
('http://www.songlyrics.com/rob-thomas/her-diamonds-lyrics/', '2009')
('http://www.songlyrics.com/britney-spears/3-lyrics/', '2009')
('http://www.songlyrics.com/jesse-mccartney/how-do-you-sleep-lyrics/', '2009')
('http://www.songlyrics.com/lady-antebellum/i-run-to-you-lyrics/', '2009')
('http://www.songlyrics.com/justin-bieber/one-time-lyrics/', '2009')
('http://www.songlyrics.com/iyaz/replay-lyrics/', '2009')
('http://www.songlyrics.com/brad-paisley/then-lyrics/', '2009')
('http://www.songlyrics.com/drake/forever-lyrics/', '2009')
('http://www.songlyrics.com/john-legend/green-light-lyrics/', '2009')
('http://www.songlyrics.com/zac-brown-band/whatever-it-is-lyrics/', '2009')
('http://www.songlyrics.com/michael-franti-spearhead/say-hey-i-love-you-lyrics/', '2009')
('http://www.songlyrics.com/kelly-clarkson/already-gone-lyrics/', '2009')
('http://www.songlyrics.com/kelly-clarkson/i-do-not-hook-up-lyrics/', '2009')
('http://www.songlyrics.com/maxwell/pretty-wings-lyrics/', '2009')
('http://www.songlyrics.com/the-fray/never-say-never-lyrics/', '2009')
('http://www.songlyrics.com/billy-currington/people-are-crazy-lyrics/', '2009')
('http://www.songlyrics.com/jim-jones-ron-browz/pop-champagne-lyrics/', '2009')
('http://www.songlyrics.com/kristinia-debarge/goodbye-lyrics/', '2009')
('http://www.songlyrics.com/flo-rida/low-lyrics/', '2008')
('http://www.songlyrics.com/alicia-keys/no-one-lyrics/', '2008')
('http://www.songlyrics.com/jordin-sparks-feat-chris-brown/no-air-lyrics/', '2008')
('http://www.songlyrics.com/chris-brown/with-you-lyrics/', '2008')
('http://www.songlyrics.com/leona-lewis/bleeding-love-lyrics/', '2008')
